alpha	beta	gamma	count_for_fixed_alpha_representative	witness_rho
6+2+2	6+4	6+2+2	5616	1,2,3,0,6,8,5,9,7,4
6+2+2	6+4	10	26400	1,2,3,4,6,8,0,9,7,5
6+2+2	8+2	2+2+2+2+2	120	1,6,5,4,8,2,9,0,7,3
6+2+2	8+2	4+4+2	6480	1,2,4,6,5,3,8,9,0,7
6+2+2	8+2	6+2+2	9024	1,2,4,0,5,6,8,9,3,7
6+2+2	8+2	10	40320	1,2,3,4,6,8,5,9,0,7
6+2+2	10	4+2+2+2	3480	1,2,4,0,6,8,9,3,7,5
6+2+2	10	6+4	26400	1,2,3,4,6,8,5,9,7,0
6+2+2	10	8+2	40320	1,2,3,4,6,8,9,0,7,5
6+4	2+2+2+2+2	4+4+2	15	2,4,0,5,1,3,8,9,6,7
6+4	2+2+2+2+2	6+2+2	36	2,6,0,9,8,7,1,5,4,3
6+4	2+2+2+2+2	10	156	2,3,0,1,6,8,4,9,5,7
6+4	4+2+2+2	4+2+2+2	150	1,3,5,4,0,2,8,9,6,7
6+4	4+2+2+2	6+4	1248	1,2,4,5,0,3,8,9,6,7
6+4	4+2+2+2	8+2	2112	1,2,3,0,6,8,4,9,5,7
6+4	4+4+2	2+2+2+2+2	15	1,3,5,4,0,2,7,8,9,6
6+4	4+4+2	4+4+2	1512	1,2,3,0,6,7,8,5,9,4
6+4	4+4+2	6+2+2	2028	1,2,3,0,6,8,7,9,5,4
6+4	4+4+2	10	10080	1,2,4,5,0,6,8,9,3,7
6+4	6+2+2	2+2+2+2+2	36	1,6,5,9,8,7,2,0,4,3
6+4	6+2+2	4+4+2	2028	1,2,4,0,5,3,8,9,6,7
6+4	6+2+2	6+2+2	2808	1,2,5,0,6,8,4,9,3,7
6+4	6+2+2	10	13200	1,2,3,4,6,8,0,9,5,7
6+4	6+4	4+2+2+2	1248	1,2,3,0,6,8,7,5,9,4
6+4	6+4	6+4	11232	1,2,3,4,6,8,0,5,9,7
6+4	6+4	8+2	16896	1,2,3,0,6,7,5,8,9,4
6+4	8+2	4+2+2+2	2112	1,2,5,0,6,8,4,3,9,7
6+4	8+2	6+4	16896	1,2,3,4,6,7,8,5,9,0
6+4	8+2	8+2	25056	1,2,3,5,6,9,4,8,0,7
6+4	10	2+2+2+2+2	156	1,2,5,0,6,8,7,3,9,4
6+4	10	4+4+2	10080	1,2,3,4,6,8,7,5,9,0
6+4	10	6+2+2	13200	1,2,3,5,6,8,7,0,9,4
6+4	10	10	65664	1,2,3,4,6,7,5,8,9,0
8+2	2+2+2+2+2	4+4+2	32	2,4,0,5,1,3,8,9,6,7
8+2	2+2+2+2+2	6+2+2	40	2,4,0,7,1,8,9,3,5,6
8+2	2+2+2+2+2	10	168	2,3,0,1,6,8,4,9,5,7
8+2	4+2+2+2	4+2+2+2	192	1,3,5,4,0,2,8,9,6,7
8+2	4+2+2+2	6+4	1408	1,2,4,6,0,8,3,9,5,7
8+2	4+2+2+2	8+2	2240	1,2,3,0,6,8,4,9,5,7
8+2	4+4+2	2+2+2+2+2	32	1,3,7,4,0,2,8,9,6,5
8+2	4+4+2	4+4+2	1600	1,2,3,0,8,6,4,9,5,7
8+2	4+4+2	6+2+2	2160	1,2,3,0,5,7,8,9,6,4
8+2	4+4+2	10	10080	1,2,4,5,0,3,8,9,7,6
8+2	6+2+2	2+2+2+2+2	40	1,3,7,6,0,8,9,2,5,4
8+2	6+2+2	4+4+2	2160	1,2,4,0,6,8,3,9,5,7
8+2	6+2+2	6+2+2	3008	1,2,4,0,5,3,8,9,6,7
8+2	6+2+2	10	13440	1,2,3,4,6,8,0,9,5,7
8+2	6+4	4+2+2+2	1408	1,2,3,0,5,8,7,9,6,4
8+2	6+4	6+4	11264	1,2,3,4,8,6,9,5,0,7
8+2	6+4	8+2	16704	1,2,3,0,5,6,8,9,7,4
8+2	8+2	4+2+2+2	2240	1,2,4,0,5,8,3,9,6,7
8+2	8+2	6+4	16704	1,2,3,4,6,8,7,9,5,0
8+2	8+2	8+2	25600	1,2,3,4,5,7,8,9,6,0
8+2	10	2+2+2+2+2	168	1,2,7,0,5,8,3,9,6,4
8+2	10	4+4+2	10080	1,2,3,4,5,8,7,9,6,0
8+2	10	6+2+2	13440	1,2,3,5,0,8,7,9,6,4
8+2	10	10	64512	1,2,3,4,5,6,8,9,7,0
